homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
94,73,92,88,56,83,68,88,66,56,76,81,75,54,72,88,80,64,91,71,82,63,75,74,82,75,84,92,88,77,75,78,77,77,72,81,67,87,86,84,75,80,69,90,85,83,93,63,01oct2005,3.00475,12293.246,74.199997,3.71,99.10257,1207.01
85,65,84,84,52,84,64,84,68,61,80,76,78,55,73,82,79,66,74,68,75,63,83,70,83,75,75,82,88,73,69,85,78,68,74,73,72,77,86,82,78,76,63,95,83,75,88,60,01nov2005,3.1904099,12396.53,81.599998,3.8800001,99.483009,1249.48
89,64,78,81,55,82,59,78,79,62,99,75,83,57,79,76,89,88,85,67,68,74,90,73,82,84,69,97,91,75,65,94,83,68,76,69,79,73,96,87,100,73,59,86,80,68,81,66,01dec2005,2.8568299,12463.963,91.5,3.8900001,100.0507,1248.29
89,79,85,85,55,88,75,85,60,56,78,71,78,77,71,85,81,78,71,74,82,61,73,79,81,98,73,74,93,80,80,80,72,59,100,90,67,81,90,91,71,82,74,100,84,76,92,66,01jan2006,3.65713,12615.534,91.199997,4.2399998,100.3068,1280.08
86,78,86,79,56,83,65,86,60,57,78,76,76,78,70,82,81,62,69,72,79,61,69,77,77,88,77,76,90,80,78,73,77,65,80,90,65,76,83,88,71,74,75,88,86,79,94,68,01feb2006,3.5161099,12671.717,86.699997,4.4299998,100.2589,1280.66
85,79,84,80,57,76,61,88,62,55,74,72,80,75,63,81,75,57,76,74,77,61,69,77,79,90,73,74,84,80,79,70,81,63,67,92,62,78,83,87,77,75,76,83,86,74,95,64,01mar2006,3.51266,12704.101,88.900002,4.5100002,100.1297,1294.87
95,76,93,82,61,75,59,86,63,57,69,71,80,56,65,80,75,56,91,82,81,63,68,76,83,92,84,76,85,84,81,68,88,57,64,92,66,77,78,87,78,86,76,84,83,76,91,64,01apr2006,3.0290301,12708.846,87.400002,4.5999999,99.882111,1310.61
90,76,90,84,60,71,55,82,58,57,68,69,76,51,61,74,78,58,86,78,77,59,69,78,85,73,75,72,84,79,76,67,81,51,62,89,63,73,78,84,72,83,75,84,81,71,86,62,01may2006,3.29669,12701.954,79.099998,4.7199998,99.604652,1270.09
94,81,83,88,58,73,48,79,58,63,72,67,79,51,64,75,82,60,95,80,77,62,74,85,86,70,73,68,87,81,80,72,79,53,64,92,64,78,81,84,71,80,77,82,80,69,92,65,01jun2006,2.43466,12730.66,84.900002,4.79,99.584213,1270.2
99,87,88,94,58,81,47,78,61,64,72,67,81,56,63,75,84,62,95,84,89,61,75,86,87,72,74,74,90,87,82,79,78,60,69,98,67,82,88,86,71,85,81,83,80,67,89,68,01jul2006,2.18818,12715.713,84.699997,4.9499998,99.619789,1276.66
100,81,88,87,59,82,49,80,67,62,70,69,87,59,66,77,87,74,93,85,83,62,73,88,84,77,78,78,94,84,82,77,81,68,73,94,66,82,84,85,69,82,80,88,83,70,94,68,01aug2006,2.23171,12709.549,82,4.96,99.716476,1303.8199
86,68,82,80,53,75,57,78,63,58,66,71,82,51,63,77,78,65,78,73,71,58,65,76,78,68,75,79,86,74,72,71,79,72,74,81,66,79,75,78,69,79,69,79,81,72,89,62,01sep2006,3.22877,12795.596,85.400002,4.8099999,100.0267,1335.85
90,66,79,79,52,74,48,81,65,60,68,68,80,48,60,79,75,55,75,68,71,59,70,71,75,74,67,88,84,72,71,71,79,74,64,75,65,80,79,76,69,76,65,84,80,71,88,63,01oct2006,3.3668001,12870.822,93.599998,4.9200001,100.4398,1377.9399
88,59,72,74,48,77,45,76,65,62,71,65,80,45,63,75,75,56,70,65,65,60,87,67,72,70,61,78,82,66,64,79,76,69,66,66,70,75,78,74,73,73,58,80,77,63,80,61,01nov2006,3.0485301,12933.502,92.099998,4.9400001,100.6671,1400.63
89,56,71,74,52,74,45,72,77,63,90,73,86,48,68,71,82,82,76,63,71,69,92,69,76,80,59,92,89,70,65,89,83,62,69,67,79,70,84,86,93,74,56,76,77,56,80,67,01dec2006,3.2867501,12998.472,91.699997,4.8499999,100.7806,1418.3
89,68,78,78,52,78,47,77,59,59,68,65,82,71,61,78,81,68,65,70,79,58,73,77,74,89,64,70,86,68,77,76,71,62,76,86,65,77,80,83,67,80,67,87,81,62,89,64,01jan2007,2.90452,13033.906,96.900002,4.98,100.8121,1438.24
