homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,income,michigan_index,tbill,cci,smp500,consumption,date
.17647059,-.07692308,.047619049,-.023809524,0,-.083333336,.125,-.035714287,.014705882,.081967212,-.037500001,-.15789473,.051282052,-.054545455,-.15068494,-.048780486,.025316456,-.060606062,.10810811,-.05882353,.026666667,-.047619049,-.13253012,-.085714288,0,-.013333334,.053333335,.012195121,0,-.08219178,0,-.047058824,.03846154,.10294118,-.054054055,.02739726,0,-.12987013,-.069767445,-.012195121,-.025641026,-.02631579,-.095238097,.14736842,-.096385539,-.079999998,.022727273,.1,.036366951,-.13725497,.46649489,-.013698732,.060553271,3.1904099,01nov2005
.11235955,-.0625,-.012820513,-.037037037,0,-.085365854,.084745765,-.089743592,.050632913,.064516127,-.01010101,-.28,.012048192,-.087719299,-.15189873,-.092105262,-.033707865,-.11363637,-.011764706,-.10447761,-.16176471,-.040540539,-.11111111,-.09589041,-.060975611,-.047619049,-.014492754,-.030927835,-.0989011,-.053333335,-.061538462,-.063829787,0,.044117648,-.039473683,-.028985508,.025316456,-.06849315,.072916664,-.068965517,.02,-.05479452,-.13559322,.08139535,-.1875,-.16176471,-.098765433,.045454547,.0088136494,-.061202165,.43701798,-.0092822937,.029135859,2.8568299,01dec2005
.011235955,-.12658228,.011764706,-.05882353,-.10909091,-.11363637,.25333333,-.082352944,-.050000001,-.035714287,-.14102565,-.26760563,.03846154,-.077922076,-.21126761,-.094117649,-.061728396,-.15384616,-.056338027,-.081081077,.048780486,-.14754099,-.10958904,-.088607594,-.11111111,0,.04109589,-.081081077,-.043010753,-.0625,-.037500001,-.1375,-.013888889,-.050847456,.059999999,-.044444446,0,-.037037037,-.022222223,-.021978023,-.084507041,-.024390243,-.13513513,.079999998,-.14285715,-.078947365,-.054347824,.075757578,.046436559,-.047149159,.4504717,-.0065608714,.077190489,3.65713,01jan2006
-.023255814,-.16666667,.011627907,-.088607594,-.071428575,-.096385539,.030769231,-.10465116,-.033333335,0,-.089743592,-.13157895,-.02631579,-.2820513,-.2,-.12195122,0,-.16129032,-.072463766,-.11111111,-.050632913,-.081967212,-.072463766,-.064935066,-.077922076,-.13636364,.038961038,-.065789476,-.033333335,-.087499999,-.11538462,-.1369863,-.012987013,.046153847,-.050000001,-.033333335,-.07692308,-.078947365,-.084337346,-.03409091,-.070422538,-.081081077,-.06666667,-.022727273,-.13953489,-.088607594,-.021276595,.029411765,.049833577,-.085351802,.42663655,-.0055137249,.0601721,3.5161099,01feb2006
.011764706,-.10126583,-.15476191,-.1,-.03508772,-.10526316,-.081967212,-.045454547,-.064516127,.018181818,-.12162162,-.16666667,.087499999,.14666666,-.26984128,-.074074075,-.039999999,-.15789473,-.039473683,-.12162162,-.012987013,-.081967212,-.10144927,-.090909094,-.06329114,-.088888891,-.08219178,-.054054055,-.071428575,-.1,-.088607594,-.11428571,-.012345679,0,-.074626863,-.021739131,-.12903225,-.012820513,-.060240965,-.045977011,.025974026,-.10666667,-.065789476,-.012048192,-.069767445,-.13513513,-.021052632,.046875,.049075335,-.041619752,.39246121,-.0045560906,.088255964,3.51266,01mar2006
.08421053,-.092105262,.043010753,-.024390243,-.1147541,-.079999998,-.11864407,-.069767445,-.031746034,.087719299,-.072463766,-.1971831,.050000001,0,-.10769231,-.075000003,0,-.125,-.054945055,.024390243,.024691358,-.015873017,-.05882353,-.039473683,-.060240965,.076086953,.071428575,.013157895,-.023529412,-.035714287,-.024691358,-.10294118,.03409091,.087719299,-.078125,-.010869565,.060606062,-.025974026,-.1025641,-.045977011,0,-.058139537,-.065789476,.05952381,-.12048193,-.11842106,-.021978023,.015625,.046149351,-.0034324371,.39565217,-.0051890071,.11731941,3.0290301,01apr2006
.022222223,-.14473684,.033333335,-.05952381,-.06666667,-.098591551,-.2,-.073170729,-.017241379,.01754386,-.17647059,-.13043478,.013157895,-.11764706,-.21311475,-.094594598,-.012820513,-.1724138,-.046511628,-.012820513,-.012987013,-.10169491,-.10144927,-.07692308,-.082352944,-.04109589,0,-.013888889,-.035714287,-.088607594,-.092105262,-.11940298,.012345679,.05882353,-.11290322,-.056179777,0,-.06849315,-.2820513,-.071428575,-.097222224,-.048192769,-.079999998,.047619049,-.086419754,-.15492958,-.069767445,0,.041169729,-.09860941,.39830509,-.0086607197,.061877504,3.29669,01may2006
.031914894,-.074074075,0,-.090909094,-.034482758,-.05479452,-.29166666,-.06329114,.017241379,.11111111,-.069444448,-.089552239,.050632913,-.05882353,-.140625,-.053333335,0,-.18333334,0,-.0125,.025974026,-.016129032,0,0,0,-.1,0,-.014705882,-.011494253,-.074074075,-.125,-.055555556,.06329114,.094339624,-.015625,-.021739131,.046875,-.012820513,-.037037037,-.047619049,-.028169014,-.050000001,-.051948052,-.024390243,-.050000001,-.13043478,-.010869565,.046153847,.04067684,-.13074203,.37995824,-.01134002,.062092584,2.43466,01jun2006
.090909094,-.057471264,.03409091,-.010638298,-.034482758,-.049382716,-.19148937,-.051282052,.016393442,.09375,-.097222224,-.14925373,.074074075,-.10714286,-.17460318,-.06666667,-.011904762,-.27419356,-.010526316,-.047619049,.11235955,-.049180329,-.079999998,-.011627907,-.045977011,-.097222224,-.054054055,0,-.033333335,-.045977011,-.097560972,-.025316456,.012820513,.083333336,-.057971016,-.020408163,.044776119,.012195121,-.03409091,-.058139537,.014084507,.023529412,-.061728396,-.036144577,-.0625,-.1641791,-.033707865,.05882353,.03875646,-.13931528,.34949493,-.010055342,.033274248,2.18818,01jul2006
.059999999,-.13580246,-.090909094,-.10344828,-.033898305,-.097560972,-.24489796,-.075000003,-.029850746,.048387095,-.085714288,-.1594203,.13793103,0,-.1969697,-.077922076,-.034482758,-.10810811,.032258064,-.17647059,.048192769,-.048387095,-.06849315,-.079545453,-.095238097,-.051948052,-.17948718,-.051282052,-.063829787,-.10714286,-.12195122,-.090909094,.012345679,.014705882,-.04109589,-.031914894,-.015151516,-.1097561,-.035714287,-.070588239,-.086956523,-.024390243,-.075000003,-.079545453,-.072289154,-.14285715,-.010638298,.029411765,.036865115,-.086585343,.30645159,-.0032394244,.064034842,2.23171,01aug2006
