Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,1111.920044,1155.380005,1105.079956,1131.130005,1131.130005,32820000000
2004-02-01,1131.130005,1158.979980,1124.439941,1144.939941,1144.939941,27985600000
2004-03-01,1144.939941,1163.229980,1087.160034,1126.209961,1126.209961,33597900000
2004-04-01,1126.209961,1150.569946,1107.229980,1107.300049,1107.300049,31611900000
2004-05-01,1107.300049,1127.739990,1076.319946,1120.680054,1120.680054,29326400000
2004-06-01,1120.680054,1146.339966,1113.319946,1140.839966,1140.839966,27529500000
2004-07-01,1140.839966,1140.839966,1078.780029,1101.719971,1101.719971,29285600000
2004-08-01,1101.719971,1109.680054,1060.719971,1104.239990,1104.239990,26586800000
2004-09-01,1104.239990,1131.540039,1099.180054,1114.579956,1114.579956,26829870000
2004-10-01,1114.579956,1142.050049,1090.290039,1130.199951,1130.199951,31511000000
2004-11-01,1130.199951,1188.459961,1127.599976,1173.819946,1173.819946,30460280000
2004-12-01,1173.780029,1217.329956,1173.780029,1211.920044,1211.920044,31102500000
2005-01-01,1211.920044,1217.800049,1163.750000,1181.270020,1181.270020,31498800000
2005-02-01,1181.270020,1212.439941,1180.949951,1203.599976,1203.599976,29297410000
2005-03-01,1203.599976,1229.109985,1163.689941,1180.589966,1180.589966,39014150000
2005-04-01,1180.589966,1191.880005,1136.150024,1156.849976,1156.849976,43424270000
2005-05-01,1156.849976,1199.560059,1146.180054,1191.500000,1191.500000,39321990000
2005-06-01,1191.500000,1219.589966,1188.300049,1191.329956,1191.329956,40334040000
2005-07-01,1191.329956,1245.150024,1183.550049,1234.180054,1234.180054,37464670000
2005-08-01,1234.180054,1245.859985,1201.069946,1220.329956,1220.329956,42030090000
2005-09-01,1220.329956,1243.130005,1205.349976,1228.810059,1228.810059,44777510000
2005-10-01,1228.810059,1233.339966,1168.199951,1207.010010,1207.010010,49793790000
2005-11-01,1207.010010,1270.640015,1201.069946,1249.479980,1249.479980,45102870000
2005-12-01,1249.479980,1275.800049,1246.589966,1248.290039,1248.290039,41756130000
